Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
numentaWithoutSpatial,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.5125976562500002,1.9853809955625692,3,3082,0,343,4032
numentaWithoutSpatial,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.5125976562500002,1.7087341608971403,2,3026,0,400,4032
numentaWithoutSpatial,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.5125976562500002,-1.5567029318416292,0,3022,3,403,4032
numentaWithoutSpatial,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.5125976562500002,-1.8932010331259808,22,15788,13,1477,18050
numentaWithoutSpatial,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,0.5125976562500002,-1.2684355927807291,3,13496,5,1577,15831
numentaWithoutSpatial,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.5125976562500002,0.48147330188318327,3,3021,4,400,4032
numentaWithoutSpatial,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,0.5125976562500002,0.0,0,3428,0,0,4032
numentaWithoutSpatial,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,0.5125976562500002,2.251776435588133,8,13514,6,1580,15858
numentaWithoutSpatial,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.5125976562500002,0.5511427763429144,4,3022,1,401,4032
numentaWithoutSpatial,reward_low_FP_rate,realTraffic/TravelTime_387.csv,0.5125976562500002,-2.1373978950294106,1,1872,4,248,2500
numentaWithoutSpatial,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.5125976562500002,1.0947586055842722,3,5788,3,723,7267
numentaWithoutSpatial,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.5125976562500002,-0.66,0,3425,3,0,4032
numentaWithoutSpatial,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.5125976562500002,0.41890867043772445,4,3023,2,399,4032
numentaWithoutSpatial,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,0.5125976562500002,-2.22,0,1218,1,162,1624
numentaWithoutSpatial,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.5125976562500002,-0.14521185347577348,6,3020,5,397,4032
numentaWithoutSpatial,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.5125976562500002,-0.66,0,3425,3,0,4032
numentaWithoutSpatial,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.5125976562500002,0.0,0,3428,0,0,4032
numentaWithoutSpatial,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.5125976562500002,0.8553262996215624,1,3025,0,402,4032
numentaWithoutSpatial,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.5125976562500002,1.2013010635379722,3,3024,2,399,4032
numentaWithoutSpatial,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,0.5125976562500002,-0.6644600908617575,7,13525,6,1578,15866
numentaWithoutSpatial,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,0.5125976562500002,2.0607608562993995,8,19671,6,2260,22695
numentaWithoutSpatial,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.5125976562500002,-1.162453402621769,1,1155,0,152,1538
numentaWithoutSpatial,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,0.5125976562500002,0.7195824617003694,2,13559,0,1591,15902
numentaWithoutSpatial,reward_low_FP_rate,realTraffic/speed_7578.csv,0.5125976562500002,0.995567045123281,3,839,3,113,1127
numentaWithoutSpatial,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.5125976562500002,-1.3667867956941744,1,1231,1,164,1643
numentaWithoutSpatial,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.5125976562500002,0.8589086704377245,2,3025,0,401,4032
numentaWithoutSpatial,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.5125976562500002,-2.810483388126481,3,13531,22,1587,15893
numentaWithoutSpatial,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.5125976562500002,0.0,0,3428,0,0,4032
numentaWithoutSpatial,reward_low_FP_rate,realTraffic/speed_t4013.csv,0.5125976562500002,1.9846249146536796,4,1871,0,246,2495
numentaWithoutSpatial,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.5125976562500002,-1.1227690096501497,1,3023,0,404,4032
numentaWithoutSpatial,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.5125976562500002,2.0952043671590386,6,13574,3,1520,15853
numentaWithoutSpatial,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.5125976562500002,-2.8090998811057517,1,1230,3,163,1643
Totals,,,,8.507035368309637,163,299188,159,33332,365558
